date,new_diagnoses,new_deaths,new_tests,date
2020-05-02,32.37900386991076,0.1807232837437161,1860.5507978161434,2020-05-02
2020-05-03,31.691523251691656,0.22682582528469158,1912.7630221661038,2020-05-03
2020-05-04,30.55675000791016,0.25531773868210894,1952.575202757847,2020-05-04
2020-05-05,29.12616402113408,0.2569751844550112,1994.531192285998,2020-05-05
2020-05-06,27.719697418513228,0.2314805550808689,2047.714456087841,2020-05-06
2020-05-07,26.711232258742232,0.186880103771647,2114.7640316560114,2020-05-07
2020-05-08,26.39374467638525,0.135464612172759,2193.4285679741247,2020-05-08
2020-05-09,26.89087922606654,0.08866586380412741,2279.1933907111215,2020-05-09
2020-05-10,28.13577170265749,0.0538231233676643,2367.601712329791,2020-05-10
2020-05-11,29.921692788536213,0.03400590534148012,2455.5380102271324,2020-05-11
2020-05-12,31.993531061947643,0.03035539069469944,2541.5130296901907,2020-05-12
2020-05-13,34.135559947653476,0.044554120945254516,2625.2349080621234,2020-05-13
2020-05-14,36.231273637739434,0.0799765219200475,2707.0323795729064,2020-05-14
2020-05-15,38.287813738260226,0.14002805852452,2787.408715455625,2020-05-15
2020-05-16,40.424370323042,0.2245553608971631,2866.7980377750355,2020-05-16
2020-05-17,42.83024222945149,0.3260782632614135,2945.494900820313,2020-05-17
2020-05-18,45.69574582945467,0.42882362560438236,3023.663433218187,2020-05-18
2020-05-19,49.13273272620198,0.5133749407459818,3101.357968065604,2020-05-19
2020-05-20,53.10841601709549,0.5652555720084019,3178.503752353575,2020-05-20
2020-05-21,57.41950011344602,0.582981216411856,3254.7932729538375,2020-05-21
2020-05-22,61.73106027658464,0.5794134724211452,3329.462852198534,2020-05-22
2020-05-23,65.6644084151711,0.5744606504954219,3400.973130856713,2020-05-23
2020-05-24,68.90087281189344,0.5831575209487464,3466.445528242114,2020-05-24
2020-05-25,71.25620516373127,0.6066185788260883,3521.3893516034286,2020-05-25
2020-05-26,72.70026313411645,0.6316555295814459,3559.7492410799077,2020-05-26
2020-05-27,73.33504765039781,0.6388213521366655,3575.1039634452463,2020-05-27
2020-05-28,73.34239309057571,0.6135017872036026,3563.1409150655763,2020-05-28
2020-05-29,72.93067953232949,0.5537850521259758,3524.800540453355,2020-05-29
2020-05-30,72.28582624061005,0.4718103727052365,3468.490126577441,2020-05-30
2020-05-31,71.53524800522277,0.38847105691588313,3409.2376374587025,2020-05-31
2020-06-01,70.73679348925825,0.32537269025429305,3363.6900523272598,2020-06-01
2020-06-02,69.90038142346779,0.29716942458796297,3342.573380522946,2020-06-02
