date,cum_diagnoses,cum_deaths,cum_recoveries,cum_tests,new_tests,new_diagnoses,new_recoveries,new_deaths
2021-09-05,75194,1961,61373,,,381,187,12
2021-09-06,75574,1975,61566,,,380,193,14
2021-09-07,75952,1982,61767,,,378,201,7
2021-09-08,76328,1990,61998,,,376,231,8
2021-09-09,76701,1998,62242,,,373,244,8
2021-09-10,77073,2006,62518,,,372,276,8
2021-09-11,77446,2017,62834,,,373,316,11
2021-09-12,77818,2032,63103,,,372,269,15
2021-09-13,78189,2044,63344,,,371,241,12
2021-09-14,78558,2054,63605,,,369,261,10
2021-09-15,78928,2063,63878,,,370,273,9
2021-09-16,79299,2074,64157,,,371,279,11
2021-09-17,79669,2082,64461,,,370,304,8
2021-09-18,80042,2089,64760,,,373,299,7
2021-09-19,80414,2102,65035,,,372,275,13
2021-09-20,80790,2117,65296,,,376,261,15
2021-09-21,81165,2124,65594,,,375,298,7
2021-09-22,81541,2128,65926,,,376,332,4
2021-09-23,81913,2132,66267,,,372,341,4
2021-09-24,82281,2135,66626,,,368,359,3
2021-09-25,82648,2135,66976,,,367,350,0
2021-09-26,83013,2150,67321,,,365,345,15
2021-09-27,83377,2155,67659,,,364,338,5
2021-09-28,83739,2158,68000,,,362,341,3
2021-09-29,84102,2162,68344,,,363,344,4
2021-09-30,84464,2165,68690,,,362,346,3
2021-10-01,84829,2174,68832,,,365,142,9
2021-10-02,85196,2184,68957,,,367,125,10
2021-10-03,85561,2199,69025,,,365,68,15
2021-10-04,85927,2213,69087,,,366,62,14
2021-10-05,86295,2228,69222,,,368,135,15
2021-10-06,86666,2235,69337,,,371,115,7
2021-10-07,87041,2238,69463,,,375,126,3
2021-10-08,87420,2254,69581,,,379,118,16
2021-10-09,87804,2268,69743,,,384,162,14
2021-10-10,88189,2280,69962,,,385,219,12
2021-10-11,88571,2286,70217,,,382,255,6
2021-10-12,88955,2300,70335,,,384,118,14
2021-10-13,89342,2304,70454,,,387,119,4
2021-10-14,89731,2310,70802,,,389,348,6
2021-10-15,90123,2314,71191,,,392,389,4
2021-10-16,90518,2324,71582,,,395,391,10
2021-10-17,90915,2334,71962,,,397,380,10
2021-10-18,91311,2344,72113,,,396,151,10
2021-10-19,91709,2353,72497,,,398,384,9
2021-10-20,92111,2361,72648,,,402,151,8
2021-10-21,92515,2371,73035,,,404,387,10
2021-10-22,92926,2381,73384,,,411,349,10
2021-10-23,93346,2388,73732,,,420,348,7
2021-10-24,93773,2396,74018,,,427,286,8
2021-10-25,94208,2404,74170,,,435,152,8
2021-10-26,94652,2414,74454,,,444,284,10
2021-10-27,95111,2423,74739,,,459,285,9
2021-10-28,95588,2433,75092,,,477,353,10
2021-10-29,96079,2442,75482,,,491,390,9
2021-10-30,96600,2454,75874,,,521,392,12
2021-10-31,97129,2464,76272,,,529,398,10
2021-11-01,97663,2473,76419,,,534,147,9
2021-11-02,98199,2485,76812,,,536,393,12
2021-11-03,98751,2496,77116,,,552,304,11
2021-11-04,99318,2505,77512,,,567,396,9
2021-11-05,99892,2515,77817,,,574,305,10
2021-11-06,100470,2526,78120,,,578,303,11
2021-11-07,101051,2538,78530,,,581,410,12
2021-11-08,101635,2550,78730,,,584,200,12
2021-11-09,102218,2562,79187,,,583,457,12
2021-11-10,102802,2573,79640,,,584,453,11
2021-11-11,103388,2583,80102,,,586,462,10
2021-11-12,103977,2594,80589,,,589,487,11
2021-11-13,104564,2604,81076,,,587,487,10
2021-11-14,105152,2616,81562,,,588,486,12
2021-11-15,105738,2627,81695,,,586,133,11
2021-11-16,106327,2638,82196,,,589,501,11
2021-11-17,106919,2649,82707,,,592,511,11
2021-11-18,107513,2661,83212,,,594,505,12
2021-11-19,108106,2673,83813,,,593,601,12
2021-11-20,108701,2687,84415,,,595,602,14
2021-11-21,109293,2701,84919,,,592,504,14
2021-11-22,109883,2716,85100,,,590,181,15
2021-11-23,110472,2730,85790,,,589,690,14
2021-11-24,111059,2745,86460,,,587,670,15
2021-11-25,111643,2758,87140,,,584,680,13
2021-11-26,112229,2772,87829,,,586,689,14
2021-11-27,112818,2787,88525,,,589,696,15
2021-11-28,113405,2800,89218,,,587,693,13
2021-11-29,113989,2812,89346,,,584,128,12
2021-11-30,114568,2824,90098,,,579,752,12
2021-12-01,115149,2837,90877,,,581,779,13
2021-12-02,115727,2851,91681,,,578,804,14
2021-12-03,116307,2863,92490,,,580,809,12
2021-12-04,116884,2875,93316,,,577,826,12
2021-12-05,117465,2887,94130,,,581,814,12
2021-12-06,118041,2900,94262,,,576,132,13
2021-12-07,118613,2911,95087,,,572,825,11
2021-12-08,119187,2924,95911,,,574,824,13
2021-12-09,119760,2935,96752,,,573,841,11
2021-12-10,120331,2945,97596,,,571,844,10
2021-12-11,120901,2958,98442,,,570,846,13
2021-12-12,121470,2970,99267,,,569,825,12
2021-12-13,122037,2981,99428,,,567,161,11
2021-12-14,122602,2992,100274,,,565,846,11
2021-12-15,123164,3005,101117,,,562,843,13
2021-12-16,123721,3015,102070,,,557,953,10
2021-12-17,124270,3026,103027,,,549,957,11
2021-12-18,124808,3036,104011,,,538,984,10
2021-12-19,125329,3046,104962,,,521,951,10
2021-12-20,125834,3056,105186,,,505,224,10
2021-12-21,126325,3066,106173,,,491,987,10
2021-12-22,126814,3077,107160,,,489,987,11
2021-12-23,127270,3086,108151,,,456,991,9
2021-12-24,127690,3095,109145,,,420,994,9
2021-12-25,128098,3107,110140,,,408,995,12
2021-12-26,128494,3117,111256,,,396,1116,10
2021-12-27,128874,3129,111669,,,380,413,12
2021-12-28,129249,3139,113665,,,375,1996,10
2021-12-29,129608,3149,115660,,,359,1995,10
2021-12-30,129933,3158,117658,,,325,1998,9
2021-12-31,130256,3172,119654,,,323,1996,14
2022-01-01,130575,3183,121150,,,319,1496,11
2022-01-02,130883,3195,121346,,,308,196,12
2022-01-03,131182,3205,121469,,,299,123,10
2022-01-04,131467,3218,122463,,,285,994,13
2022-01-05,131726,3228,122571,,,259,108,10
2022-01-06,131945,3240,122680,,,219,109,12
2022-01-07,132154,3249,123671,,,209,991,9
2022-01-08,132360,3259,123733,,,206,62,10
2022-01-09,132564,3268,123791,,,204,58,9
2022-01-10,132767,3277,123847,,,203,56,9
2022-01-11,132965,3287,124346,,,198,499,10
2022-01-12,133160,3300,124844,,,195,498,13
2022-01-13,133375,3310,125343,,,215,499,10
2022-01-14,133596,3321,125731,,,221,388,11
2022-01-15,133838,3334,126108,,,242,377,13
2022-01-16,134103,3345,126312,,,265,204,11
2022-01-17,134384,3355,126409,,,281,97,10
2022-01-18,134677,3364,126705,,,293,296,9
2022-01-19,134992,3376,127013,,,315,308,12
2022-01-20,135368,3390,127327,,,376,314,14
2022-01-21,135806,3403,127639,,,438,312,13
2022-01-22,136343,3415,128074,,,537,435,12
2022-01-23,136941,3427,128389,,,598,315,12
2022-01-24,137536,3436,128485,,,595,96,9
2022-01-25,138152,3449,128732,,,616,247,13
2022-01-26,138777,3464,128986,,,625,254,15
2022-01-27,139428,3478,129236,,,651,250,14
2022-01-28,140132,3493,129490,,,704,254,15
2022-01-29,140866,3508,129688,,,734,198,15
2022-01-30,141678,3522,129885,,,812,197,14
2022-01-31,142685,3535,130137,,,1007,252,13
2022-02-01,144000,3550,130590,,,1315,453,15
2022-02-02,145663,3562,131051,,,1663,461,12
2022-02-03,147464,3577,131510,,,1801,459,15
2022-02-04,149376,3591,131964,,,1912,454,14
2022-02-05,151425,3605,132425,,,2049,461,14
2022-02-06,153612,3620,132927,,,2187,502,15
2022-02-07,155885,3634,133242,,,2273,315,14
2022-02-08,158219,3649,134444,,,2334,1202,15
2022-02-09,160664,3664,135952,,,2445,1508,15
2022-02-10,163246,3678,137705,,,2582,1753,14
2022-02-11,165875,3689,139457,,,2629,1752,11
2022-02-12,168543,3699,141461,,,2668,2004,10
2022-02-13,171056,3709,142963,,,2513,1502,10
2022-02-14,173638,3719,143468,,,2582,505,10
2022-02-15,175594,3728,145567,,,1956,2099,9
2022-02-16,177330,3739,147819,,,1736,2252,11
2022-02-17,179255,3750,150336,,,1925,2517,11
2022-02-18,181249,3760,152990,,,1994,2654,10
2022-02-19,182954,3771,155738,,,1705,2748,11
2022-02-20,184624,3782,158590,,,1670,2852,11
2022-02-21,185572,3791,159595,,,948,1005,9
