date,new_deaths
2021-07-01,13
2021-07-02,10
2021-07-03,7
2021-07-04,13
2021-07-05,13
2021-07-06,15
2021-07-07,14
2021-07-08,15
2021-07-09,14
2021-07-10,12
2021-07-11,12
2021-07-12,14
2021-07-13,16
2021-07-14,14
2021-07-15,13
2021-07-16,10
2021-07-17,15
2021-07-18,11
2021-07-19,13
2021-07-20,18
2021-07-21,15
2021-07-22,14
2021-07-23,10
2021-07-24,17
2021-07-25,13
2021-07-26,15
2021-07-27,11
2021-07-28,17
2021-07-29,16
2021-07-30,11
2021-07-31,9
2021-08-01,12
2021-08-02,9
2021-08-03,14
2021-08-04,14
2021-08-05,14
2021-08-06,7
2021-08-07,6
2021-08-08,8
2021-08-09,5
2021-08-10,10
2021-08-11,4
2021-08-12,9
2021-08-13,2
2021-08-14,5
2021-08-15,5
2021-08-16,9
2021-08-17,6
2021-08-18,4
2021-08-19,3
2021-08-20,4
2021-08-21,2
2021-08-22,7
2021-08-23,1
2021-08-24,4
2021-08-25,2
2021-08-26,5
2021-08-27,4
2021-08-28,6
2021-08-29,3
2021-08-30,3
2021-08-31,4
2021-09-01,3
2021-09-02,5
2021-09-03,4
2021-09-04,1
2021-09-05,3
2021-09-06,3
2021-09-07,1
2021-09-08,4
2021-09-09,3
2021-09-10,2
2021-09-11,1
2021-09-12,4
2021-09-13,4
2021-09-14,0
2021-09-15,2
2021-09-16,3
2021-09-17,5
2021-09-18,2
2021-09-19,3
2021-09-20,3
2021-09-21,2
2021-09-22,2
2021-09-23,2
2021-09-24,2
2021-09-25,1
2021-09-26,3
2021-09-27,3
2021-09-28,4
2021-09-29,1
2021-09-30,3
2021-10-02,1
2021-10-03,3
2021-10-04,3
2021-10-05,4
2021-10-06,1
2021-10-07,4
2021-10-08,3
2021-10-10,4
2021-10-11,6
2021-10-12,4
2021-10-13,9
2021-10-14,5
2021-10-15,8
2021-10-16,1
2021-10-17,4
2021-10-18,7
2021-10-19,7
2021-10-20,5
2021-10-21,4
2021-10-22,4
2021-10-23,5
2021-10-24,4
2021-10-25,4
2021-10-26,4
2021-10-27,4
2021-10-29,3
2021-10-30,2
2021-10-31,6
2021-11-01,11
2021-11-02,7
2021-11-03,9
2021-11-04,6
2021-11-05,10
2021-11-06,5
2021-11-07,5
2021-11-08,11
2021-11-09,10
2021-11-10,10
2021-11-11,6
2021-11-12,5
2021-11-13,6
2021-11-14,11
2021-11-15,10
2021-11-16,14
2021-11-17,6
2021-11-18,14
2021-11-19,4
2021-11-20,3
2021-11-21,7
2021-11-22,9
2021-11-23,12
2021-11-24,7
2021-11-25,4
2021-11-26,6
2021-11-27,3
2021-11-28,17
2021-11-29,11
2021-11-30,12
2021-12-01,12
2021-12-02,15
2021-12-03,9
2021-12-04,4
2021-12-05,6
2021-12-06,13
2021-12-07,13
2021-12-08,5
2021-12-09,8
2021-12-10,3
2021-12-11,5
2021-12-12,5
2021-12-13,9
2021-12-14,10
2021-12-15,8
2021-12-16,10
2021-12-17,10
2021-12-18,5
2021-12-19,6
2021-12-20,6
2021-12-21,8
2021-12-22,8
2021-12-23,5
2021-12-24,7
2021-12-25,3
2021-12-26,7
2021-12-27,9
2021-12-29,13
2021-12-31,7
2022-01-02,16
2022-01-03,3
2022-01-04,9
2022-01-05,4
2022-01-06,6
2022-01-07,2
2022-01-08,7
2022-01-09,8
2022-01-10,9
2022-01-11,3
2022-01-12,4
2022-01-14,2
2022-01-15,1
2022-01-16,4
2022-01-17,10
2022-01-18,6
2022-01-20,4
2022-01-21,9
2022-01-22,2
2022-01-23,4
2022-01-24,10
2022-01-25,5
2022-01-26,5
2022-01-27,4
2022-01-28,5
2022-01-29,3
2022-01-30,5
2022-01-31,4
2022-02-01,4
2022-02-02,2
2022-02-03,4
2022-02-04,3
2022-02-05,6
2022-02-06,6
2022-02-07,8
2022-02-08,7
2022-02-09,8
2022-02-10,2
2022-02-11,4
2022-02-12,2
2022-02-13,13
2022-02-14,18
2022-02-15,8
2022-02-16,6
2022-02-17,9
2022-02-18,11
2022-02-19,7
2022-02-20,6
2022-02-21,8
2022-02-22,6
2022-02-23,6
2022-02-24,8
2022-02-25,7
